,,sizeUsers,sizeUsers,sizeUsers,sizeUsers,sizeUsers,sizeUsers,sizeUsers,sizeUsers,lifeSpan,lifeSpan,lifeSpan,lifeSpan,lifeSpan,lifeSpan,lifeSpan,lifeSpan,authors,authors,authors,authors,authors,authors,authors,authors,commits,commits,commits,commits,commits,commits,commits,commits,pulls,pulls,pulls,pulls,pulls,pulls,pulls,pulls,issues,issues,issues,issues,issues,issues,issues,issues,comments,comments,comments,comments,comments,comments,comments,comments,reviews,reviews,reviews,reviews,reviews,reviews,reviews,reviews
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
language,status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laravel,Alive,33.0,2.3636363636363638,0.652791209833867,1.0,2.0,2.0,3.0,3.0,33.0,58.75757575757576,7.475084878407331,22.0,58.0,60.0,62.0,67.0,33.0,56.18181818181818,118.45422495247229,2.0,6.0,15.0,53.0,641.0,33.0,216.54545454545453,201.4420032709618,6.0,65.0,149.0,273.0,729.0,33.0,38.45454545454545,54.92670736370589,1.0,6.0,14.0,42.0,221.0,33.0,29.515151515151516,52.89619623146428,0.0,4.0,12.0,32.0,243.0,33.0,105.96969696969697,199.7158113496032,1.0,7.0,35.0,72.0,994.0,33.0,3.393939393939394,8.448148443369833,0.0,0.0,0.0,5.0,47.0
Laravel,Dead,41.0,1.4390243902439024,0.5499445648338057,1.0,1.0,1.0,2.0,3.0,41.0,24.0,17.774982419119294,0.0,7.0,27.0,37.0,56.0,41.0,4.7073170731707314,6.075540726713238,0.0,1.0,2.0,5.0,29.0,41.0,34.02439024390244,26.18824908702188,1.0,15.0,23.0,47.0,111.0,41.0,3.926829268292683,5.437785596648874,0.0,0.0,2.0,5.0,20.0,41.0,2.2195121951219514,3.784918725164064,0.0,0.0,0.0,3.0,19.0,41.0,5.2926829268292686,8.846592288669758,0.0,0.0,0.0,7.0,39.0,41.0,0.2682926829268293,0.7079685813615756,0.0,0.0,0.0,0.0,3.0
Laravel,Zombie,6.0,2.6666666666666665,0.5163977794943222,2.0,2.25,3.0,3.0,3.0,6.0,59.333333333333336,4.96655480858378,56.0,56.25,57.5,59.5,69.0,6.0,41.666666666666664,38.05084317944435,5.0,16.75,25.5,70.25,95.0,6.0,64.83333333333333,48.58566318027023,28.0,40.5,49.5,60.0,161.0,6.0,16.5,13.924798023669858,2.0,6.75,15.0,21.0,40.0,6.0,20.166666666666668,15.535979745953155,3.0,12.0,13.5,32.25,41.0,6.0,66.33333333333333,50.408993906511036,2.0,41.25,52.0,100.25,138.0,6.0,2.3333333333333335,4.760952285695232,0.0,0.0,0.5,1.0,12.0
NPM,Alive,76.0,2.5789473684210527,0.5947135533400225,1.0,2.0,3.0,3.0,3.0,76.0,60.6578947368421,3.9040240148815597,52.0,58.0,60.0,63.25,69.0,76.0,110.5,484.8953564086448,1.0,3.0,8.0,32.75,4088.0,76.0,305.14473684210526,765.2138647279792,10.0,42.75,117.0,261.0,6223.0,76.0,74.15789473684211,156.4521696989491,0.0,7.0,17.0,54.0,910.0,76.0,34.21052631578947,107.30794512858448,0.0,0.0,7.5,37.25,900.0,76.0,202.75,596.377757801211,0.0,4.0,35.0,179.25,5002.0,76.0,31.105263157894736,135.5476377708706,0.0,0.0,0.0,11.75,1127.0
NPM,Dead,148.0,1.8175675675675675,0.6602119033373518,1.0,1.0,2.0,2.0,3.0,148.0,25.35135135135135,16.22791114722542,0.0,12.75,24.5,40.25,60.0,148.0,3.3716216216216215,3.4822785671340486,0.0,1.0,2.0,4.0,22.0,148.0,56.45945945945946,78.27010431600178,1.0,14.75,24.0,65.0,489.0,148.0,9.75,31.641459713311516,0.0,0.0,1.0,4.0,234.0,148.0,3.527027027027027,9.379704494675076,0.0,0.0,1.0,3.0,83.0,148.0,16.31081081081081,48.306539796317594,0.0,0.0,2.0,10.0,420.0,148.0,1.3716216216216217,9.028511456555947,0.0,0.0,0.0,0.0,105.0
NPM,Zombie,3.0,2.3333333333333335,0.5773502691896258,2.0,2.0,2.0,2.5,3.0,3.0,58.666666666666664,8.621678104251709,51.0,54.0,57.0,62.5,68.0,3.0,10.666666666666666,10.692676621563626,4.0,4.5,5.0,14.0,23.0,3.0,53.666666666666664,49.57149718672347,9.0,27.0,45.0,76.0,107.0,3.0,5.333333333333333,5.131601439446884,1.0,2.5,4.0,7.5,11.0,3.0,4.666666666666667,3.7859388972001824,2.0,2.5,3.0,6.0,9.0,3.0,18.666666666666668,14.502873278538061,4.0,11.5,19.0,26.0,33.0,3.0,0.3333333333333333,0.5773502691896258,0.0,0.0,0.0,0.5,1.0
R,Alive,61.0,2.442622950819672,0.6714310628286031,1.0,2.0,3.0,3.0,3.0,61.0,60.540983606557376,8.913610885404044,0.0,59.0,62.0,64.0,70.0,61.0,43.278688524590166,66.10449585001537,1.0,8.0,21.0,51.0,384.0,61.0,418.04918032786884,491.9493004443143,1.0,126.0,222.0,514.0,2624.0,61.0,20.78688524590164,25.89087017598955,0.0,3.0,13.0,25.0,112.0,61.0,69.98360655737704,78.58699888303805,0.0,21.0,44.0,96.0,433.0,61.0,277.655737704918,358.86919089671574,0.0,38.0,145.0,336.0,1681.0,61.0,16.262295081967213,40.892909588886056,0.0,0.0,0.0,9.0,175.0
R,Dead,69.0,1.6376811594202898,0.593370593770518,1.0,1.0,2.0,2.0,3.0,69.0,41.507246376811594,15.27553136498117,0.0,35.0,46.0,52.0,61.0,69.0,6.913043478260869,8.279562240549959,0.0,2.0,5.0,9.0,51.0,69.0,119.72463768115942,218.6647234828304,2.0,17.0,45.0,95.0,1352.0,69.0,6.115942028985507,15.52373536753625,0.0,0.0,2.0,5.0,103.0,69.0,15.144927536231885,23.18041475693425,0.0,2.0,7.0,17.0,110.0,69.0,37.492753623188406,77.04765965610197,0.0,1.0,10.0,36.0,457.0,69.0,2.391304347826087,9.730512034324189,0.0,0.0,0.0,0.0,71.0
R,Zombie,12.0,2.5833333333333335,0.5149286505444373,2.0,2.0,3.0,3.0,3.0,12.0,62.75,3.816828764587405,54.0,61.75,64.0,65.25,66.0,12.0,23.916666666666668,15.594045094979121,5.0,10.25,22.5,33.0,48.0,12.0,142.75,133.28310606988555,21.0,64.0,108.5,158.5,490.0,12.0,8.916666666666666,11.309355204940518,0.0,1.0,5.0,9.0,33.0,12.0,24.666666666666668,18.14754345175493,2.0,13.75,21.5,35.25,64.0,12.0,65.83333333333333,53.51437076886805,5.0,21.75,62.0,81.5,191.0,12.0,1.0833333333333333,2.6443192398846707,0.0,0.0,0.0,0.25,9.0
WordPress,Alive,117.0,2.4786324786324787,0.6512361004975209,1.0,2.0,3.0,3.0,3.0,117.0,61.56410256410256,4.317934961786422,53.0,58.0,61.0,65.0,70.0,117.0,166.07692307692307,1283.9780194289376,1.0,3.0,6.0,22.0,13837.0,117.0,646.1709401709402,2516.1797921431657,2.0,37.0,89.0,328.0,24530.0,117.0,100.13675213675214,510.78997144691454,0.0,2.0,9.0,35.0,5123.0,117.0,197.81196581196582,1149.6500886823387,0.0,2.0,7.0,32.0,11234.0,117.0,800.6068376068376,4886.595458156628,0.0,1.0,14.0,107.0,49796.0,117.0,122.46153846153847,752.3346597879848,0.0,0.0,0.0,5.0,6894.0
WordPress,Dead,254.0,1.4645669291338583,0.6977691792552861,1.0,1.0,1.0,2.0,3.0,254.0,20.874015748031496,18.10225331593765,0.0,2.25,18.0,34.0,59.0,254.0,2.3346456692913384,3.23552117977669,0.0,1.0,1.0,2.0,25.0,254.0,88.83858267716535,528.2407313755248,1.0,6.0,15.0,39.75,7827.0,254.0,2.4606299212598426,8.790739445398648,0.0,0.0,0.0,1.0,79.0,254.0,4.425196850393701,17.043547889587256,0.0,0.0,0.0,3.0,196.0,254.0,5.7047244094488185,20.83293742945435,0.0,0.0,0.0,3.0,213.0,254.0,0.6614173228346457,3.7652886707090443,0.0,0.0,0.0,0.0,33.0
WordPress,Zombie,14.0,2.642857142857143,0.744946343668492,1.0,3.0,3.0,3.0,3.0,14.0,59.642857142857146,4.908503498359413,50.0,56.0,60.5,62.75,67.0,14.0,17.0,21.693671533776495,1.0,6.0,9.0,20.5,82.0,14.0,180.07142857142858,144.9861872920814,37.0,59.25,132.0,256.75,487.0,14.0,15.214285714285714,23.88169099614106,0.0,1.25,7.0,15.0,89.0,14.0,31.714285714285715,35.35627149553434,5.0,10.0,15.0,42.0,120.0,14.0,73.42857142857143,88.18050917182434,3.0,14.5,26.0,119.25,315.0,14.0,13.071428571428571,32.22150329710386,0.0,0.0,0.0,2.75,113.0
